iter	RMSE
159	254.1968248
160	253.711291
161	253.3405327
162	253.0922064
163	252.4579171
164	251.9560767
165	251.6701712
166	251.2810948
167	250.7429327
168	250.3763976
169	249.8156652
170	249.5511065
171	249.3221806
172	248.9114929
173	248.3911801
174	248.0208504
175	247.5279259
176	247.325808
177	247.0016252
178	246.737196
179	246.1447201
180	245.8103359
181	245.2722887
182	244.8971737
183	244.7139822
184	244.5209421
185	244.1624198
186	243.8195363
187	243.5128798
188	243.2157766
189	242.7649221
190	242.3107458
191	241.7835262
192	241.2787167
193	241.0275585
194	240.7483262
195	240.2301662
196	239.8814585
197	239.6339341
198	239.3677054
199	239.1770201
200	238.7282353
201	238.3695291
202	238.0081684
203	237.6907389
204	237.5084883
205	237.2482405
206	236.8452099
207	236.6646886
208	236.0870594
209	235.4728591
210	235.4249084
211	235.0558491
212	234.641823
213	234.3619357
214	234.222713
215	234.0309955
216	233.775178
217	233.4947968
218	233.2833883
219	233.1300375
220	232.9224623
221	232.709097
222	232.5064804
223	232.167232
224	231.8782607
225	231.5992445
226	231.2427609
227	231.0778691
228	230.8659829
229	230.5501556
230	230.4539256
231	230.0576352
232	229.5438935
233	229.3116267
234	229.1132124
235	228.6053307
236	228.2036861
237	228.0701581
238	227.9062053
239	227.4706934
240	227.0608199
241	226.5433279
242	226.3092931
243	226.1568833
244	225.9888447
245	225.6300076
246	225.3898687
247	225.1413158
248	224.8131493
249	224.5120887
250	224.2214148
251	224.142944
252	223.7943867
253	223.5256656
254	223.3393689
255	223.1577794
256	222.6975092
257	222.2944831
258	222.0659971
259	221.987977
260	221.8728782
261	221.4949937
262	221.1728771
263	221.0448633
264	220.4821879
265	220.0639494
266	219.8847504
267	219.3598172
268	219.2678506
269	219.160917
270	218.928019
271	218.695386
272	218.6321067
273	218.4217237
274	218.2856245
275	218.2670418
276	217.9054393
277	217.722625
278	217.4404711
279	217.2317845
280	217.0381377
281	216.8975916
282	216.6694561
283	216.568133
284	216.4694945
285	216.1768055
286	216.0378263
287	215.9587904
288	215.9040262
289	215.8283765
290	215.5179672
291	215.2887109
292	214.8656896
293	214.7753591
294	214.3419976
295	214.1882768
296	214.0112365
297	213.8831221
298	213.4905888
299	213.0559275
300	212.8566164
301	212.6625349
302	212.3809787
303	212.0546946
304	211.7386424
305	211.5363037
306	211.3616843
307	211.2419008
308	210.8755246
309	210.6564784
310	210.2937867
311	210.1576398
312	210.0313332
313	209.8854694
314	209.8337306
315	209.6954895
316	209.6111404
317	209.5115853
318	209.3551186
319	209.1838786
320	208.8669223
321	208.7718621
322	208.7255333
323	208.595889
324	208.213716
325	208.0139475
326	207.5788552
327	207.245388
328	207.1975745
329	206.9604597
330	206.6916939
331	206.569779
332	206.3497691
333	206.3077704
334	205.9552943
335	205.6368276
336	205.5182663
337	205.4021829
338	205.2652031
339	204.8917775
340	204.7783096
341	204.6672136
342	204.580877
343	204.3759368
344	203.9899977
345	203.8993259
346	203.8499418
347	203.8109095
348	203.7522845
349	203.7113595
350	203.3799105
351	203.2566668
352	203.1328703
353	203.0357561
354	202.7960915
355	202.6864888
356	202.4610462
357	202.2570763
358	201.8625694
359	201.5519612
360	201.3887297
361	201.20588
362	201.1641948
363	201.12255
364	200.8817861
365	200.7833798
366	200.2971705
367	200.2596984
368	200.2428505
369	199.9372238
370	199.6978657
371	199.5690968
372	199.4988924
373	199.2266858
374	199.1164263
375	198.7839277
376	198.6985961
377	198.4908315
378	198.1322166
379	198.0508794
380	197.8606909
381	197.7708581
382	197.6971208
383	197.4650673
384	197.1462069
385	196.8717318
386	196.6123379
387	196.4377074
388	196.3511987
389	196.1912592
390	196.1004753
391	195.9719599
392	195.8946264
393	195.6366136
394	195.5295158
395	195.4274796
396	195.3309656
397	195.0289758
398	194.9435164
399	194.7590445
400	194.7247988
401	194.3776913
402	194.3405338
403	194.0358573
404	193.9992123
405	193.9099635
406	193.709939
407	193.5145367
408	193.4141076
409	193.2033673
410	193.138193
411	192.8934786
412	192.6258932
413	192.3853676
414	192.1719045
415	191.9954123
416	191.593881
417	191.3800819
418	191.3451907
419	191.3130972
420	190.9697707
421	190.8954389
422	190.8479137
423	190.5184034
424	190.3334313
425	189.9662575
426	189.8849072
427	189.807463
428	189.6267761
429	189.277252
430	189.0924709
431	188.9414343
432	188.713973
433	188.5960855
434	188.4239597
435	188.3415653
436	188.2509865
437	187.9810025
438	187.7499859
439	187.5468076
440	187.2912611
441	187.197349
442	187.0288005
443	186.9920295
444	186.9197976
445	186.7575366
446	186.6243136
447	186.5537098
448	186.3747782
449	186.0922637
450	186.0806903
451	186.0354152
452	185.9081019
453	185.7351575
454	185.5176492
455	185.4191947
456	185.119924
457	184.8051616
458	184.5925745
459	184.3371129
460	184.3141583
461	184.0768283
462	183.6930759
463	183.4537361
464	183.2034319
465	183.1356947
466	182.9821014
467	182.8992912
468	182.7448111
469	182.7119588
470	182.5676804
471	182.3926137
472	182.3199464
473	182.3111755
474	182.2260143
475	182.0300591
476	181.8854922
477	181.8096914
478	181.7427603
479	181.4717467
480	181.2904952
481	181.2138509
482	181.1318371
483	180.9973969
484	180.9724852
485	180.7809049
486	180.719325
487	180.46901
488	180.310555
489	179.9998891
490	179.9895778
491	179.9547499
492	179.7562118
493	179.5800903
494	179.514272
495	179.2458961
496	179.1657315
497	179.0943923
498	178.8556547
499	178.5431232
500	178.4695473
501	178.3466456
502	178.210519
503	177.9358162
504	177.7543287
505	177.4994353
506	177.4366795
507	177.3859549
508	177.0784115
509	176.7093911
510	176.5631862
511	176.4373049
512	176.2415428
513	176.1252985
514	175.9717731
515	175.7658867
516	175.7091913
517	175.4327916
518	175.4104371
519	175.1393232
520	174.9042837
521	174.8478091
522	174.740514
523	174.5614872
524	174.495944
525	174.4725631
526	174.4459319
527	174.1445182
528	174.0372558
529	173.8770606
530	173.8191293
531	173.6710918
532	173.6201878
533	173.382448
534	173.3220626
535	173.04923
536	172.8696305
537	172.7880213
538	172.6470115
539	172.5353403
540	172.1495239
541	172.0935188
542	171.965492
543	171.8505009
544	171.7787621
545	171.6862663
546	171.3907895
547	171.0476054
548	170.9784707
549	170.7419936
550	170.4545333
551	170.4330042
552	170.2600678
553	170.0150031
554	169.8629907
555	169.5109184
556	169.311009
557	169.0008969
558	168.7717969
559	168.597802
560	168.5491368
561	168.3577886
562	168.2160284
563	168.1736223
564	167.8368807
565	167.5169964
566	167.5108319
567	167.502544
568	167.4571937
569	167.363893
570	167.2520949
571	166.9714862
572	166.917527
573	166.754134
574	166.6687296
575	166.5314239
576	166.4888122
577	166.2712307
578	166.205661
579	165.8990724
580	165.7455453
581	165.4394619
582	165.3339473
583	165.3266755
584	165.1357157
585	164.8695258
586	164.8253936
587	164.7635186
588	164.488814
589	164.3168339
590	164.1534115
591	163.9453839
592	163.772044
593	163.7271744
594	163.5045864
595	163.4249883
596	163.2316664
597	163.0874478
598	163.0264697
599	162.9047268
600	162.7977383
601	162.7406589
602	162.641902
603	162.4716936
604	162.3529271
605	162.2947979
606	162.130312
607	162.0861159
608	162.0465085
609	161.9720053
610	161.7253676
611	161.6724442
612	161.5194878
613	161.1940214
614	161.0495116
615	160.9950971
616	160.8546281
617	160.7716419
618	160.6732073
619	160.3856138
620	160.3247253
621	160.2824143
622	160.2066285
623	160.1758514
624	159.8826774
625	159.7988695
626	159.7612539
627	159.6328529
628	159.4807764
629	159.4402529
630	159.1520047
631	159.0001249
632	158.730668
633	158.5431957
634	158.420626
635	158.3396448
636	158.3005157
637	158.2194723
638	158.1413645
639	158.0884414
640	157.8505877
641	157.7041076
642	157.5793373
643	157.3975334
644	157.2223901
645	157.027753
646	156.8783348
647	156.6851878
648	156.5614358
649	156.328181
650	156.1636867
651	156.0932752
652	155.8953589
653	155.7635981
654	155.6637609
655	155.6420353
656	155.5485621
657	155.3666232
658	155.1698258
659	155.0343525
660	154.9857437
661	154.8452236
662	154.7988264
663	154.6211739
664	154.5598186
665	154.52413
666	154.5022347
667	154.3703548
668	154.115205
669	154.0138341
670	153.8649819
671	153.8160329
672	153.6683879
673	153.5446324
674	153.4586384
675	153.240136
676	153.1492625
677	153.0321777
678	152.8631837
679	152.6528193
680	152.5442011
681	152.4756413
682	152.3791645
683	152.2010766
684	152.0301349
685	151.9728893
686	151.854502
687	151.7460427
688	151.5629891
689	151.3416377
690	151.3130011
691	151.2658831
692	151.038903
693	151.0070611
694	150.9197889
695	150.753363
696	150.7072652
697	150.5245137
698	150.5067244
699	150.4272566
700	150.3920446
701	150.200294
702	150.1767141
703	150.0444942
704	149.9815466
705	149.9204786
706	149.8617347
707	149.7162074
708	149.6844432
709	149.5796122
710	149.4032741
711	149.2624117
712	149.2441424
713	148.9959111
714	148.8236787
715	148.6847075
716	148.5071832
717	148.3940233
718	148.3063466
719	148.1861859
720	148.168628
721	148.1041157
722	148.0616546
723	148.0042449
724	147.7563382
725	147.5884783
726	147.3397625
727	147.3334326
728	147.3150662
729	147.2987492
730	147.1227842
731	147.0938646
732	146.8845179
733	146.723633
734	146.6880587
735	146.5928379
736	146.4389882
737	146.2919913
738	146.0864325
739	145.9322839
740	145.8530628
741	145.7976488
742	145.6249488
743	145.598216
744	145.4746487
745	145.3240307
746	145.2813835
747	145.2393786
748	145.214768
749	145.091726
750	145.0094198
751	144.958804
752	144.8506969
753	144.8286711
754	144.7707219
755	144.6057745
756	144.5905166
757	144.5739835
758	144.4060438
759	144.3767806
760	144.3508356
761	144.3168508
762	144.076771
763	143.9601901
764	143.9369175
765	143.7706842
766	143.7551572
767	143.5989428
768	143.5173665
769	143.2468369
770	143.2095135
771	143.1851996
772	142.9738663
773	142.9258183
774	142.8760332
775	142.8028425
776	142.7571864
777	142.7234191
778	142.6491072
779	142.5138446
780	142.4204595
781	142.3986825
782	142.373045
783	142.2535122
784	142.1722944
785	141.9534231
786	141.9060306
787	141.6712874
788	141.5326643
789	141.5114067
790	141.440818
791	141.4200108
792	141.3835713
793	141.2219645
794	141.2015604
795	141.1874848
796	141.1710566
797	140.9191682
798	140.8820389
799	140.8756565
800	140.7740711
801	140.5909032
802	140.5530788
803	140.4090272
804	140.309176
805	140.0349915
806	139.8664755
807	139.7777489
808	139.6959439
809	139.6395432
810	139.5459591
811	139.5011268
812	139.4712263
813	139.4482169
814	139.3461885
815	139.1980212
816	139.0433965
817	138.9418518
818	138.8539594
819	138.6390627
820	138.6347918
821	138.5515655
822	138.5319161
823	138.5036553
824	138.3595135
825	138.2062655
826	138.1837067
827	138.0581065
828	137.9884231
829	137.8673164
830	137.8482272
831	137.7101725
832	137.6914931
833	137.6728569
834	137.6418094
835	137.5356571
836	137.5173493
837	137.3897427
838	137.2315202
839	137.2135496
840	137.1035721
841	137.0266008
842	137.0071711
843	136.9898478
844	136.9758228
845	136.7605701
846	136.7438555
847	136.7384167
848	136.6335391
849	136.5745079
850	136.5095339
851	136.3651572
852	136.3487901
853	136.2368581
854	136.1462408
855	136.1108245
856	136.0548399
857	135.9292468
858	135.7442599
859	135.6640884
860	135.5523863
861	135.4479748
862	135.4318351
863	135.3976848
864	135.3323188
865	135.2886547
866	135.2262119
867	135.2103893
868	135.1307439
869	135.0287157
870	134.9983581
871	134.9858153
872	134.9756183
873	134.8791446
874	134.8705593
875	134.7627793
876	134.7201956
877	134.6239137
878	134.4955642
879	134.4086783
880	134.352856
881	134.2541222
882	134.1904175
883	134.1590739
884	134.0332318
885	133.9575981
886	133.9424524
887	133.7899438
888	133.6571424
889	133.537478
890	133.527485
891	133.4643833
892	133.4497088
893	133.4353375
894	133.3632752
895	133.299757
896	133.28573
897	133.2596188
898	133.1573191
899	133.1371421
900	133.0004526
901	132.9146148
902	132.812432
903	132.7517923
904	132.7259015
905	132.7166271
906	132.7048537
907	132.5713863
908	132.5668652
909	132.4644022
910	132.4109278
911	132.2709786
912	132.2539551
913	132.1197794
914	131.9888647
915	131.7908788
916	131.7482261
917	131.6570894
918	131.5128535
919	131.4916494
920	131.3855715
921	131.3714322
922	131.3104892
923	131.301352
924	131.2869519
925	131.1526034
926	131.1059381
927	130.9396529
928	130.9354062
929	130.8740474
930	130.8557777
931	130.7420666
932	130.6620053
933	130.6101385
934	130.5456179
935	130.531564
936	130.4263534
937	130.4182412
938	130.4083523
939	130.3737333
940	130.3254433
941	130.2400228
942	130.2022333
943	130.1933035
944	130.1650538
945	130.1514556
946	130.0673577
947	130.0634405
948	130.0275423
949	129.9803269
950	129.871984
951	129.8678816
952	129.7102964
953	129.70463
954	129.6991056
955	129.6710221
956	129.6450392
957	129.6001232
958	129.5388232
959	129.4591929
960	129.3428142
961	129.2454361
962	129.1689196
963	129.1607439
964	129.1137125
965	129.002068
966	128.9251607
967	128.8534857
968	128.7644749
969	128.7413833
970	128.6053808
971	128.5413749
972	128.4386403
973	128.4262904
974	128.3368307
975	128.3211704
976	128.2338657
977	128.2209151
978	128.1559071
979	128.0435683
980	127.9784136
981	127.9470051
982	127.8860622
983	127.8051993
984	127.7363686
985	127.6946455
986	127.6218849
987	127.5790257
988	127.5184722
989	127.4843452
990	127.4578235
991	127.3928333
992	127.1924435
993	127.1163976
994	127.1120727
995	127.0282974
996	127.0053803
997	126.8324292
998	126.799476
999	126.7375197
