iter	RMSE
0	711.6964435
1	696.2864135
2	682.3235034
3	667.7643987
4	653.3042475
5	641.4276943
6	630.5505846
7	619.3366541
8	607.4243179
9	596.5354543
10	587.2617912
11	578.1717675
12	568.7102496
13	558.7535479
14	549.5992252
15	540.6771616
16	532.8531142
17	524.8933975
18	516.8187257
19	509.4784707
20	501.7853288
21	495.0976506
22	487.6649081
23	480.9739345
24	474.3154006
25	468.2007005
26	461.9515266
27	456.5223728
28	450.6039987
29	445.0046205
30	439.8736526
31	434.9253156
32	430.6670708
33	425.9543007
34	421.4108809
35	416.7799474
36	412.6543839
37	408.79988
38	404.7647585
39	400.8052053
40	397.6455598
41	393.571853
42	390.4967904
43	386.6597544
44	383.7509209
45	380.4247492
46	377.2175602
47	374.1304649
48	371.8232429
49	368.9440345
50	365.8928862
51	363.3049552
52	360.4939257
53	357.7174652
54	355.2489712
55	353.2808541
56	350.8373107
57	348.5683831
58	346.0733257
59	343.4113731
60	340.7348734
61	338.4546799
62	336.3469149
63	334.9991045
64	333.2214989
65	331.4126816
66	329.6035218
67	327.3420522
68	325.6993586
69	324.3473621
70	322.7075535
71	321.4055631
72	320.2180461
73	317.9782809
74	316.6006853
75	315.0245472
76	313.5368244
77	311.8710968
78	310.496927
79	309.4578902
80	308.3263337
81	307.2040255
82	306.0630221
83	304.4092004
84	302.9070429
85	301.8995807
86	301.2565213
87	300.2052392
88	298.9326583
89	297.8124534
90	296.9094233
91	296.3538168
92	295.0445539
93	294.2686076
94	293.3883207
95	291.9344512
96	290.8410838
97	289.9028151
98	288.9516291
99	288.2241065
100	287.4717616
101	286.4805977
102	285.7543669
103	285.2783648
104	284.6479836
105	284.0159262
106	283.0591542
107	282.1074355
108	281.3259769
109	280.4203717
110	279.5520023
111	278.881254
112	278.201917
113	277.5401467
114	276.8561158
115	276.2368157
116	275.5885555
117	274.9694302
118	274.421053
119	273.9502362
120	273.385105
121	272.9393252
122	272.4335471
123	271.5738783
124	270.6161133
125	270.1247779
126	269.7457653
127	269.1040085
128	268.7124186
129	268.00468
130	267.3439065
131	266.8686103
132	266.3193243
133	265.9210785
134	265.7613898
135	265.1990214
136	264.8423182
137	264.0972984
138	263.6742943
139	263.2021299
140	262.688547
141	261.9999856
142	261.1439772
143	260.6812583
144	260.2694709
145	259.819519
146	259.4030626
147	259.0552166
148	258.7704866
149	258.17779
150	257.7630664
151	257.2851289
152	256.7893818
153	256.3720792
154	255.9714435
155	255.6661873
156	255.3672677
157	255.0817204
158	254.4394219
