;Rótulos de columna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;Total Promedio de tasa reciclaje %;Total Promedio de residuos_kg_hab
Rótulos de fila;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;;
Iceland;15,4;462;15,8;467;16,1;476;16,4;484;;;;;;;;;19,2;655;20,5;414;20,8;484;25,3;495;28;511;29,9;516;29,7;535;28,2;588;33,2;655;25,8;656;27,5;702;;;26,2;614;26,4;659;;;23,78823529;551,3529412
Ireland;11,9;599;11,3;699;18,3;692;23,6;730;29,5;737;31,1;731;33,1;792;34,1;772;33,6;718;33,5;651;35,7;624;36,1;616;36,6;585;;;39,8;562;;;40,7;581;40,4;576;37,7;598;37,4;625;40,8;644;;;;;31,85263158;659,5789474
Italy;14,2;509;17,8;516;14,8;523;16,3;524;17,6;540;18,5;546;19,2;559;25;557;23,8;552;29,7;543;31;547;35,5;529;38,4;504;39,4;491;41,6;488;44,3;486;45,9;497;47,8;488;49,8;499;51,4;503;51,4;487;51,9;495;;;32,96818182;517,4090909
Kosovo*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;255;2,5;270;;;1,25;262,5
Latvia;0;271;0,4;305;0,4;343;2,3;304;4,4;318;3,9;320;4,5;343;5;391;6,4;345;7,7;352;9,4;324;9,7;350;14,6;323;25,9;350;27;364;28,7;404;25,2;410;24,8;411;25,2;407;41;439;39,7;478;44,1;461;;;15,92272727;364,2272727
Lithuania;0;365;0;378;0;405;0;389;1,9;373;1,9;387;1,9;405;7,5;419;8,4;428;8,5;381;4,9;404;20;442;23,5;445;27,8;433;30,5;433;33,2;448;48;444;48,1;455;52,6;464;49,7;472;45,3;483;44,3;480;48,4;465;22,0173913;426
Luxembourg;35,8;654;37,5;646;38,5;653;42,2;678;41,5;679;43,5;672;43,7;683;45;695;45,7;697;46,4;679;46,5;679;46,4;666;47,4;652;46,3;616;47,7;626;47,4;607;49,2;815;48,9;798;49;803;48,9;791;52,8;790;55,3;793;54,6;721;46,09565217;699,6956522
Malta;9,6;533;9;540;4,7;541;6,5;580;6,3;633;9,1;625;13,7;667;4,7;677;5;688;6,9;671;8,9;623;15,4;622;14,8;612;12,5;602;11,7;628;10,9;641;12,7;642;11,5;666;10,4;672;9,1;697;10,9;643;13,6;611;12,2;618;10,00434783;627,4782609
Montenegro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,7;516;5,3;545;4,6;486;4,7;515;4,2;537;4,5;519,8
Netherlands;44,1;598;43,7;595;45,3;600;45,6;586;46,9;599;46,7;599;46,8;597;48,3;606;48,4;600;49,1;589;49,2;571;49,1;568;49,4;549;49,8;526;50,9;527;51,8;523;53,5;520;54,6;513;55,9;511;56,9;508;56,9;533;57,8;515;57,5;473;50,35652174;556,7826087
