iter	Logloss
0	0.6719959772
1	0.6571045386
2	0.6409759039
3	0.6224869366
4	0.6062140082
5	0.591821322
6	0.578445384
7	0.5642631066
8	0.5478521242
9	0.5336766112
10	0.5207928828
11	0.5090637943
12	0.4991086977
13	0.4875076959
14	0.4753854695
15	0.4640941576
16	0.4540809665
17	0.4457922153
18	0.433267684
19	0.4210032962
20	0.4123869005
21	0.4023729271
22	0.3944197111
23	0.3869263313
24	0.3786103494
25	0.3702806926
26	0.3615484275
27	0.3512105385
28	0.3433553713
29	0.3375164935
30	0.328573998
31	0.3185259392
32	0.31173219
33	0.3033095925
34	0.2952131444
35	0.2895726117
36	0.2843132762
37	0.2785028327
38	0.2700931709
39	0.2619549629
40	0.2540811068
41	0.2492285397
42	0.2444297279
43	0.238530066
44	0.2339121063
45	0.2290859292
46	0.2238546101
47	0.2173215546
48	0.2117001094
49	0.2074173648
50	0.2017845799
51	0.1985311267
52	0.1935600618
53	0.1897226116
54	0.1864620261
55	0.1827035497
56	0.1794688702
57	0.1763305001
58	0.1734031706
59	0.1684555141
60	0.1656766868
61	0.1626182039
62	0.1582934996
63	0.1545275677
64	0.1516878622
65	0.1482111934
66	0.1446269565
67	0.1421447739
68	0.1383880726
69	0.1364333853
70	0.1329930384
71	0.1301882252
72	0.1282876881
73	0.1257416766
74	0.1240094429
75	0.120896388
76	0.1180947025
77	0.1160126352
78	0.113305765
79	0.111644858
80	0.1101068078
81	0.1081850284
82	0.1067580938
83	0.1048673269
84	0.1029285826
85	0.1011072525
86	0.09869927546
87	0.09611521988
88	0.09501680979
89	0.09342756969
90	0.09233750715
91	0.09101642806
92	0.0894827709
93	0.08779444753
94	0.08673959302
95	0.08470179104
96	0.08296346664
97	0.08158733554
98	0.08050203323
99	0.07873182704
100	0.07782032606
101	0.07664355301
102	0.07551068794
103	0.07444811449
104	0.07260134453
105	0.07104218878
106	0.06975579262
107	0.06804932792
108	0.0670137702
109	0.06562669801
110	0.06457359616
111	0.06360030814
112	0.06268534428
