iter	Passed	Remaining
0	2	2092
1	6	3322
2	18	6129
3	21	5321
4	28	5619
5	34	5764
6	39	5654
7	44	5467
8	46	5101
9	48	4844
10	54	4882
11	57	4729
12	60	4606
13	63	4490
14	66	4354
15	68	4241
16	72	4164
17	75	4095
18	77	3984
19	82	4029
20	85	3976
21	88	3922
22	101	4301
23	105	4286
24	117	4600
25	123	4608
26	128	4644
27	131	4554
28	134	4505
29	138	4479
30	141	4416
31	143	4346
32	146	4304
33	148	4232
34	152	4217
35	155	4177
36	159	4143
37	162	4115
38	164	4056
39	166	4005
40	169	3956
41	173	3947
42	176	3931
43	179	3906
44	182	3883
45	186	3864
46	189	3838
47	191	3793
48	193	3760
49	198	3762
50	201	3740
51	205	3753
52	212	3799
53	220	3870
54	224	3854
55	227	3829
56	230	3811
57	236	3846
58	240	3834
59	242	3798
60	245	3780
61	250	3790
62	252	3761
63	255	3734
64	258	3719
65	263	3722
66	265	3692
67	268	3676
68	270	3646
69	273	3633
70	275	3611
71	278	3584
72	281	3573
73	284	3555
74	289	3565
75	291	3542
76	293	3521
77	296	3504
78	298	3480
79	302	3478
80	305	3466
81	309	3461
82	312	3449
83	316	3448
84	319	3440
85	323	3436
86	330	3470
87	333	3461
88	344	3524
89	349	3535
90	360	3599
91	369	3645
92	374	3655
93	377	3639
94	381	3632
95	383	3612
96	387	3603
97	389	3589
98	394	3592
99	397	3576
100	404	3602
101	417	3673
102	421	3671
103	425	3664
104	427	3645
105	431	3642
106	434	3628
107	436	3607
108	439	3595
109	442	3577
110	445	3568
111	448	3552
112	451	3541
113	453	3523
114	458	3525
115	463	3535
116	467	3530
117	470	3518
118	472	3500
119	475	3489
120	479	3480
121	481	3462
122	484	3452
123	487	3445
124	490	3435
125	495	3435
126	504	3465
127	512	3488
128	521	3521
129	537	3593
130	543	3602
131	548	3605
132	555	3618
133	560	3620
134	564	3617
135	567	3606
136	578	3644
137	582	3640
138	588	3645
139	591	3635
140	595	3629
141	601	3634
142	609	3652
143	613	3647
144	617	3640
145	622	3643
146	625	3627
147	629	3621
148	631	3607
149	637	3612
150	640	3602
151	644	3593
152	646	3577
153	650	3574
154	654	3565
155	655	3548
156	659	3538
157	662	3531
158	665	3520
159	668	3510
160	671	3500
161	674	3490
162	678	3485
163	681	3475
164	684	3465
165	687	3453
166	690	3444
167	693	3436
168	696	3426
169	699	3415
170	702	3403
171	707	3406
172	710	3397
173	712	3383
174	715	3374
175	720	3371
176	723	3362
177	726	3352
178	729	3345
179	733	3339
180	735	3326
181	737	3312
182	739	3299
183	742	3292
184	748	3297
185	752	3291
186	755	3284
187	758	3275
188	762	3270
189	764	3261
190	768	3254
191	771	3244
192	772	3231
193	776	3226
194	778	3214
195	781	3205
196	783	3193
197	785	3180
198	787	3169
199	789	3159
200	793	3155
201	796	3146
202	799	3138
203	805	3141
204	808	3134
205	811	3127
206	813	3117
207	816	3107
208	819	3102
209	822	3094
210	825	3086
211	827	3075
212	831	3073
213	835	3067
214	837	3057
215	839	3045
216	840	3033
217	844	3028
218	846	3017
219	848	3009
220	850	2999
221	854	2992
222	861	3001
223	863	2991
224	867	2987
225	873	2990
226	880	2998
227	884	2994
228	887	2988
229	892	2988
230	896	2983
231	898	2973
232	899	2962
233	902	2953
234	905	2947
235	908	2941
236	910	2931
237	913	2925
238	916	2919
239	919	2911
240	921	2902
241	924	2894
242	927	2888
243	929	2879
244	932	2872
245	938	2875
246	941	2869
247	945	2866
248	956	2885
249	962	2886
250	965	2882
251	971	2882
252	977	2887
253	984	2890
254	987	2886
255	991	2881
256	996	2879
257	998	2872
258	1002	2868
259	1016	2894
260	1020	2889
261	1022	2880
262	1027	2879
263	1031	2874
264	1038	2881
265	1042	2876
266	1044	2867
267	1051	2871
268	1056	2870
269	1059	2865
270	1063	2860
271	1066	2854
272	1069	2848
273	1072	2840
274	1074	2833
275	1078	2828
276	1081	2822
277	1083	2813
278	1088	2811
279	1090	2803
280	1093	2798
281	1096	2792
282	1100	2787
283	1102	2780
284	1104	2771
285	1107	2765
286	1118	2777
287	1126	2784
288	1133	2789
289	1137	2785
290	1140	2779
291	1144	2775
292	1147	2769
293	1151	2764
294	1154	2757
295	1155	2749
296	1158	2742
297	1161	2736
298	1165	2733
299	1176	2744
300	1181	2744
301	1185	2739
302	1191	2739
303	1193	2733
304	1196	2727
305	1200	2722
306	1203	2717
307	1206	2711
308	1210	2705
309	1225	2727
310	1228	2720
311	1233	2720
312	1237	2715
313	1240	2710
314	1243	2703
315	1253	2712
316	1256	2707
317	1262	2708
318	1273	2718
319	1279	2718
320	1281	2710
321	1285	2706
322	1291	2706
323	1294	2701
324	1308	2716
325	1311	2710
326	1314	2704
327	1317	2699
328	1321	2694
329	1325	2692
330	1331	2690
331	1333	2682
332	1335	2675
333	1339	2670
334	1342	2665
335	1345	2659
336	1349	2654
337	1352	2648
338	1356	2644
339	1358	2637
340	1370	2648
341	1373	2643
342	1377	2637
343	1385	2642
344	1389	2637
345	1391	2630
346	1394	2623
347	1396	2616
348	1401	2613
349	1404	2608
350	1407	2602
351	1410	2597
352	1415	2594
353	1418	2589
354	1421	2582
355	1424	2576
356	1427	2571
357	1430	2566
358	1433	2560
359	1436	2554
360	1441	2551
361	1444	2545
362	1447	2539
363	1450	2534
364	1452	2527
365	1461	2531
366	1465	2527
367	1478	2538
368	1481	2533
369	1486	2530
370	1489	2525
371	1493	2521
372	1508	2535
373	1514	2535
374	1518	2531
375	1520	2524
376	1533	2533
377	1544	2541
378	1558	2554
379	1573	2567
380	1583	2572
381	1587	2568
382	1592	2564
383	1600	2568
384	1604	2563
385	1615	2569
386	1621	2569
387	1626	2565
388	1640	2576
389	1643	2571
390	1650	2570
391	1654	2565
392	1656	2558
393	1668	2566
394	1671	2560
395	1677	2559
396	1681	2554
397	1684	2547
398	1686	2540
399	1702	2553
400	1732	2587
401	1738	2585
402	1740	2578
403	1744	2573
404	1747	2567
405	1751	2561
406	1754	2556
407	1757	2550
408	1761	2544
409	1764	2538
410	1767	2533
411	1769	2525
412	1774	2521
413	1777	2515
414	1781	2510
415	1784	2504
416	1787	2499
417	1790	2493
418	1793	2487
419	1797	2481
420	1800	2476
421	1802	2469
422	1805	2463
423	1807	2455
424	1809	2448
425	1812	2442
426	1815	2435
427	1818	2429
428	1821	2424
429	1823	2417
430	1826	2411
431	1830	2406
432	1832	2400
433	1837	2396
434	1845	2397
435	1849	2392
436	1854	2389
437	1859	2386
438	1862	2380
439	1867	2376
440	1870	2371
441	1873	2365
442	1877	2361
443	1881	2356
444	1885	2351
445	1888	2345
446	1891	2339
447	1895	2335
448	1898	2330
449	1900	2322
450	1903	2317
451	1907	2312
452	1910	2307
453	1913	2301
454	1916	2295
455	1919	2289
456	1922	2284
457	1926	2279
458	1929	2273
459	1932	2268
460	1936	2264
461	1939	2258
462	1942	2252
463	1945	2247
464	1956	2250
465	1964	2251
466	1968	2246
467	1973	2242
468	1978	2240
469	1982	2235
470	1985	2230
471	1997	2233
472	2002	2231
473	2017	2238
474	2024	2237
475	2026	2231
476	2031	2227
477	2036	2224
478	2054	2234
479	2058	2230
480	2062	2225
481	2070	2224
482	2080	2226
483	2088	2226
484	2093	2222
485	2098	2218
486	2102	2214
487	2106	2209
488	2110	2205
489	2118	2205
