iter	Passed	Remaining
0	17	17057
1	31	15577
2	42	14288
3	53	13398
4	66	13216
5	78	13022
6	89	12715
7	99	12371
8	111	12253
9	119	11848
10	129	11650
11	137	11316
12	149	11355
13	159	11212
14	167	10991
15	177	10921
16	186	10759
17	196	10744
18	206	10641
19	216	10589
20	228	10673
21	237	10575
22	249	10596
23	260	10593
24	273	10649
25	282	10585
26	293	10564
27	301	10479
28	312	10460
29	322	10442
30	332	10403
31	346	10466
32	358	10511
33	370	10537
34	379	10465
35	389	10435
36	398	10365
37	421	10665
38	434	10703
39	444	10679
40	463	10834
41	475	10843
42	484	10780
43	492	10694
44	503	10685
45	511	10616
46	525	10649
47	537	10661
48	547	10625
49	555	10560
50	565	10517
51	573	10454
52	582	10404
53	592	10371
54	605	10405
55	623	10513
56	640	10592
57	658	10690
58	670	10701
59	687	10774
60	697	10730
61	705	10680
62	720	10722
63	733	10730
64	745	10718
65	753	10656
66	763	10628
67	771	10570
68	780	10532
69	788	10479
70	798	10449
71	806	10401
72	816	10367
73	827	10354
74	839	10356
75	851	10354
76	872	10463
77	884	10457
78	897	10459
79	908	10452
80	924	10486
81	935	10475
82	948	10479
83	959	10464
84	968	10424
85	980	10418
86	990	10396
87	1004	10409
88	1016	10406
89	1028	10404
90	1041	10398
91	1050	10371
92	1062	10363
93	1077	10386
94	1089	10378
95	1100	10361
96	1114	10377
97	1132	10423
98	1162	10577
99	1192	10728
100	1212	10796
101	1228	10817
102	1257	10951
103	1281	11040
104	1304	11118
105	1347	11361
106	1396	11657
107	1422	11749
108	1437	11753
109	1447	11712
110	1462	11716
111	1478	11719
112	1494	11732
113	1511	11747
114	1524	11729
115	1536	11707
116	1545	11662
117	1558	11647
118	1569	11619
119	1580	11590
120	1589	11546
121	1600	11519
122	1614	11511
123	1633	11541
124	1648	11539
125	1658	11505
126	1670	11485
127	1684	11472
128	1695	11444
129	1703	11402
130	1714	11374
131	1722	11329
132	1736	11319
133	1755	11342
134	1768	11333
135	1780	11310
136	1789	11275
137	1803	11264
138	1815	11247
139	1827	11229
140	1839	11204
141	1852	11191
142	1865	11179
143	1878	11165
144	1887	11129
145	1902	11130
146	1916	11118
147	1930	11113
148	1943	11100
149	1954	11075
150	1963	11039
151	1976	11024
152	1988	11009
153	1999	10985
154	2010	10962
155	2022	10943
156	2039	10949
157	2049	10922
158	2062	10907
159	2077	10906
160	2089	10886
161	2099	10858
162	2112	10847
163	2165	11039
164	2209	11183
165	2248	11296
166	2281	11382
167	2304	11414
168	2323	11427
169	2337	11410
170	2352	11406
171	2366	11391
172	2382	11390
173	2398	11387
174	2410	11363
175	2419	11326
176	2430	11303
177	2444	11288
178	2464	11304
179	2482	11307
180	2501	11318
181	2516	11309
182	2528	11287
183	2547	11296
184	2565	11303
