Tipo de gasto;Ámbito medioambiental;periodo;Total
INVERSIÓN;Otras actividades de protección ambiental;2020;34.207.594
INVERSIÓN;Otras actividades de protección ambiental;2019;27.116.631
INVERSIÓN;Otras actividades de protección ambiental;2018;21.542.944
INVERSIÓN;Otras actividades de protección ambiental;2017;23.785.850
INVERSIÓN;Otras actividades de protección ambiental;2016;25.395.860
INVERSIÓN;Otras actividades de protección ambiental;2015;21.103.113
INVERSIÓN;Otras actividades de protección ambiental;2014;15.353.359
INVERSIÓN;Otras actividades de protección ambiental;2013;20.775.663
INVERSIÓN;Otras actividades de protección ambiental;2012;53.831.336
INVERSIÓN;Otras actividades de protección ambiental;2011;65.100.409
INVERSIÓN;Otras actividades de protección ambiental;2010;70.793.013
INVERSIÓN;Otras actividades de protección ambiental;2009;132.757.869
INVERSIÓN;Otras actividades de protección ambiental;2008;178.277.203
GASTO CORRIENTE;Total;2021;2.361.693.853
GASTO CORRIENTE;Total;2020;2.011.683.889
GASTO CORRIENTE;Total;2019;2.055.342.851
GASTO CORRIENTE;Total;2018;2.006.678.089
GASTO CORRIENTE;Total;2017;1.919.764.295
GASTO CORRIENTE;Total;2016;1.851.748.295
GASTO CORRIENTE;Total;2015;1.826.472.996
GASTO CORRIENTE;Total;2014;1.845.886.711
GASTO CORRIENTE;Total;2013;1.755.756.634
GASTO CORRIENTE;Total;2012;1.724.741.197
GASTO CORRIENTE;Total;2011;1.705.233.668
GASTO CORRIENTE;Total;2010;1.619.795.794
GASTO CORRIENTE;Total;2009;1.520.701.493
GASTO CORRIENTE;Total;2008;1.595.581.916
GASTO CORRIENTE;Protección del aire y el clima;2021;308.385.707
GASTO CORRIENTE;Protección del aire y el clima;2020;255.316.660
GASTO CORRIENTE;Protección del aire y el clima;2019;270.187.237
GASTO CORRIENTE;Protección del aire y el clima;2018;288.268.793
GASTO CORRIENTE;Protección del aire y el clima;2017;285.203.056
GASTO CORRIENTE;Protección del aire y el clima;2016;261.734.757
GASTO CORRIENTE;Protección del aire y el clima;2015;281.659.852
GASTO CORRIENTE;Protección del aire y el clima;2014;297.579.383
GASTO CORRIENTE;Protección del aire y el clima;2013;274.985.141
GASTO CORRIENTE;Protección del aire y el clima;2012;..
GASTO CORRIENTE;Protección del aire y el clima;2011;..
GASTO CORRIENTE;Protección del aire y el clima;2010;..
GASTO CORRIENTE;Protección del aire y el clima;2009;..
GASTO CORRIENTE;Protección del aire y el clima;2008;..
GASTO CORRIENTE;Gestión de aguas residuales;2021;626.600.004
GASTO CORRIENTE;Gestión de aguas residuales;2020;535.801.726
GASTO CORRIENTE;Gestión de aguas residuales;2019;571.138.258
GASTO CORRIENTE;Gestión de aguas residuales;2018;574.616.060
GASTO CORRIENTE;Gestión de aguas residuales;2017;557.695.916
GASTO CORRIENTE;Gestión de aguas residuales;2016;559.307.543
GASTO CORRIENTE;Gestión de aguas residuales;2015;547.907.818
GASTO CORRIENTE;Gestión de aguas residuales;2014;554.768.560
GASTO CORRIENTE;Gestión de aguas residuales;2013;528.573.553
GASTO CORRIENTE;Gestión de aguas residuales;2012;..
GASTO CORRIENTE;Gestión de aguas residuales;2011;..
GASTO CORRIENTE;Gestión de aguas residuales;2010;..
GASTO CORRIENTE;Gestión de aguas residuales;2009;..
GASTO CORRIENTE;Gestión de aguas residuales;2008;..
GASTO CORRIENTE;Gestión de residuos;2021;1.185.067.083
GASTO CORRIENTE;Gestión de residuos;2020;1.029.939.788
GASTO CORRIENTE;Gestión de residuos;2019;1.015.108.961
GASTO CORRIENTE;Gestión de residuos;2018;952.697.070
GASTO CORRIENTE;Gestión de residuos;2017;886.258.298
GASTO CORRIENTE;Gestión de residuos;2016;857.616.748
GASTO CORRIENTE;Gestión de residuos;2015;831.013.428
GASTO CORRIENTE;Gestión de residuos;2014;826.065.121
GASTO CORRIENTE;Gestión de residuos;2013;814.649.889
GASTO CORRIENTE;Gestión de residuos;2012;..
GASTO CORRIENTE;Gestión de residuos;2011;..
GASTO CORRIENTE;Gestión de residuos;2010;..
GASTO CORRIENTE;Gestión de residuos;2009;..
GASTO CORRIENTE;Gestión de residuos;2008;..
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2021;23.660.772
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2020;18.932.559
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2019;22.153.009
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2018;23.400.075
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2017;22.284.084
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2016;17.160.628
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2015;14.747.003
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2014;20.208.693
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2013;10.461.226
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2012;..
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2011;..
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2010;..
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2009;..
GASTO CORRIENTE;Protección y descontaminación de suelos aguas subterráneas y superficiales;2008;..
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2021;8.282.644
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2020;3.655.248
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2019;4.183.528
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2018;5.085.171
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2017;4.694.340
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2016;3.655.070
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2015;3.990.996
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2014;6.170.806
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2013;3.688.183
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2012;..
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2011;..
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2010;..
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2009;..
GASTO CORRIENTE;Reducción del ruido y las vibraciones;2008;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2021;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2020;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2019;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2018;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2017;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2016;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2015;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2014;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2013;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2012;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2011;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2010;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2009;..
GASTO CORRIENTE;Protección de la biodiversidad y los paisajes;2008;..
GASTO CORRIENTE;Otras actividades de protección ambiental;2021;209.697.643
GASTO CORRIENTE;Otras actividades de protección ambiental;2020;168.037.908
GASTO CORRIENTE;Otras actividades de protección ambiental;2019;172.571.858
GASTO CORRIENTE;Otras actividades de protección ambiental;2018;162.610.920
GASTO CORRIENTE;Otras actividades de protección ambiental;2017;163.628.601
GASTO CORRIENTE;Otras actividades de protección ambiental;2016;152.273.549
GASTO CORRIENTE;Otras actividades de protección ambiental;2015;147.153.899
GASTO CORRIENTE;Otras actividades de protección ambiental;2014;141.094.148
GASTO CORRIENTE;Otras actividades de protección ambiental;2013;123.398.642
GASTO CORRIENTE;Otras actividades de protección ambiental;2012;..
GASTO CORRIENTE;Otras actividades de protección ambiental;2011;..
GASTO CORRIENTE;Otras actividades de protección ambiental;2010;..
GASTO CORRIENTE;Otras actividades de protección ambiental;2009;..
GASTO CORRIENTE;Otras actividades de protección ambiental;2008;..
GASTO TOTAL;Total;2021;3.267.143.990
GASTO TOTAL;Total;2020;2.625.514.418
GASTO TOTAL;Total;2019;2.792.021.140
GASTO TOTAL;Total;2018;2.626.234.495
GASTO TOTAL;Total;2017;2.519.411.315
GASTO TOTAL;Total;2016;2.490.158.880
GASTO TOTAL;Total;2015;2.373.594.858
GASTO TOTAL;Total;2014;2.400.168.806
GASTO TOTAL;Total;2013;2.311.874.913
GASTO TOTAL;Total;2012;2.348.786.912
GASTO TOTAL;Total;2011;2.389.333.053
GASTO TOTAL;Total;2010;2.384.740.758
GASTO TOTAL;Total;2009;2.586.644.380
GASTO TOTAL;Total;2008;3.129.379.326
GASTO TOTAL;Protección del aire y el clima;2021;730.717.943
GASTO TOTAL;Protección del aire y el clima;2020;580.993.411
GASTO TOTAL;Protección del aire y el clima;2019;728.373.580
GASTO TOTAL;Protección del aire y el clima;2018;669.656.426
GASTO TOTAL;Protección del aire y el clima;2017;656.483.763
GASTO TOTAL;Protección del aire y el clima;2016;690.243.362
GASTO TOTAL;Protección del aire y el clima;2015;601.655.556
GASTO TOTAL;Protección del aire y el clima;2014;592.613.620
GASTO TOTAL;Protección del aire y el clima;2013;541.619.049
GASTO TOTAL;Protección del aire y el clima;2012;..
GASTO TOTAL;Protección del aire y el clima;2011;..
GASTO TOTAL;Protección del aire y el clima;2010;..
GASTO TOTAL;Protección del aire y el clima;2009;..
GASTO TOTAL;Protección del aire y el clima;2008;..
GASTO TOTAL;Gestión de aguas residuales;2021;746.258.930
GASTO TOTAL;Gestión de aguas residuales;2020;609.398.050
GASTO TOTAL;Gestión de aguas residuales;2019;661.537.917
GASTO TOTAL;Gestión de aguas residuales;2018;652.585.929
GASTO TOTAL;Gestión de aguas residuales;2017;651.324.259
GASTO TOTAL;Gestión de aguas residuales;2016;622.798.707
GASTO TOTAL;Gestión de aguas residuales;2015;617.669.739
GASTO TOTAL;Gestión de aguas residuales;2014;636.185.198
GASTO TOTAL;Gestión de aguas residuales;2013;641.812.041
GASTO TOTAL;Gestión de aguas residuales;2012;..
GASTO TOTAL;Gestión de aguas residuales;2011;..
GASTO TOTAL;Gestión de aguas residuales;2010;..
GASTO TOTAL;Gestión de aguas residuales;2009;..
GASTO TOTAL;Gestión de aguas residuales;2008;..
GASTO TOTAL;Gestión de residuos;2021;1.282.538.784
GASTO TOTAL;Gestión de residuos;2020;1.102.919.189
GASTO TOTAL;Gestión de residuos;2019;1.082.597.338
GASTO TOTAL;Gestión de residuos;2018;1.014.474.814
GASTO TOTAL;Gestión de residuos;2017;920.546.251
GASTO TOTAL;Gestión de residuos;2016;894.313.145
GASTO TOTAL;Gestión de residuos;2015;869.485.276
