Tipo de indicador;Ámbito de protección ambiental;periodo;Total
Estructura porcentual;TOTAL;2020;100
Estructura porcentual;TOTAL;2019;100
Estructura porcentual;TOTAL;2018;100
Estructura porcentual;TOTAL;2017;100
Estructura porcentual;TOTAL;2016;100
Estructura porcentual;TOTAL;2015;100
Estructura porcentual;TOTAL;2014;100
Estructura porcentual;TOTAL;2013;100
Estructura porcentual;TOTAL;2012;100
Estructura porcentual;TOTAL;2011;100
Estructura porcentual;TOTAL;2010;100
Estructura porcentual;Gestión de las aguas residuales;2022 (avance);18,8
Estructura porcentual;Gestión de las aguas residuales;2021;18,4
Estructura porcentual;Gestión de las aguas residuales;2020;18,4
Estructura porcentual;Gestión de las aguas residuales;2019;18,2
Estructura porcentual;Gestión de las aguas residuales;2018;17,8
Estructura porcentual;Gestión de las aguas residuales;2017;18,6
Estructura porcentual;Gestión de las aguas residuales;2016;19,6
Estructura porcentual;Gestión de las aguas residuales;2015;20,2
Estructura porcentual;Gestión de las aguas residuales;2014;19,3
Estructura porcentual;Gestión de las aguas residuales;2013;20
Estructura porcentual;Gestión de las aguas residuales;2012;17,7
Estructura porcentual;Gestión de las aguas residuales;2011;17,1
Estructura porcentual;Gestión de las aguas residuales;2010;21
Estructura porcentual;Gestión de residuos;2022 (avance);62,4
Estructura porcentual;Gestión de residuos;2021;62,4
Estructura porcentual;Gestión de residuos;2020;63,4
Estructura porcentual;Gestión de residuos;2019;63,4
Estructura porcentual;Gestión de residuos;2018;64,1
Estructura porcentual;Gestión de residuos;2017;62,5
Estructura porcentual;Gestión de residuos;2016;60,8
Estructura porcentual;Gestión de residuos;2015;60,4
Estructura porcentual;Gestión de residuos;2014;60
Estructura porcentual;Gestión de residuos;2013;59,5
Estructura porcentual;Gestión de residuos;2012;59,9
Estructura porcentual;Gestión de residuos;2011;56,4
Estructura porcentual;Gestión de residuos;2010;55,1
Estructura porcentual;Protección de la biodiversidad y el paisaje;2022 (avance);4,7
Estructura porcentual;Protección de la biodiversidad y el paisaje;2021;4,9
Estructura porcentual;Protección de la biodiversidad y el paisaje;2020;4,5
Estructura porcentual;Protección de la biodiversidad y el paisaje;2019;4,3
Estructura porcentual;Protección de la biodiversidad y el paisaje;2018;4,7
Estructura porcentual;Protección de la biodiversidad y el paisaje;2017;5,1
Estructura porcentual;Protección de la biodiversidad y el paisaje;2016;5,5
Estructura porcentual;Protección de la biodiversidad y el paisaje;2015;5,7
Estructura porcentual;Protección de la biodiversidad y el paisaje;2014;6,2
Estructura porcentual;Protección de la biodiversidad y el paisaje;2013;6,1
Estructura porcentual;Protección de la biodiversidad y el paisaje;2012;7,2
Estructura porcentual;Protección de la biodiversidad y el paisaje;2011;8,8
Estructura porcentual;Protección de la biodiversidad y el paisaje;2010;9,6
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2022 (avance);8,9
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2021;8,6
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2020;7,4
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2019;8,2
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2018;7,4
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2017;7,3
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2016;6,9
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2015;6,8
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2014;6,9
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2013;7
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2012;8,3
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2011;8,8
