Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2021;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2020;12.269
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2019;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2018;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2017;11.852
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2016;8.633
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2015;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2014;61.027
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2013;3.107
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2012;17.274
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2011;6.722
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2010;19.498
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2009;5.109
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C28. Fabricación de maquinaria y equipo;2008;170.912
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2021;136.196
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2020;92.547
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2019;273.282
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2018;407.170
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2017;179.165
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2016;498.712
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2015;85.863
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2014;44.446
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2013;108.191
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2012;99.256
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2011;134.746
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2010;547.137
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2009;717.583
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C29-30. Fabricación de material de transporte;2008;2.081.332
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2021;107.245
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2020;78.404
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2019;13.787
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2018;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2017;2.760
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2016;14.348
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2015;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2014;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2013;24.500
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2012;17.340
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2011;14.225
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2010;6.385
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2009;1.500
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;C31-32-33. Otras industrias manufactureras (mueble reparación e instalación...);2008;41.525
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2021;275.714
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2020;6.021
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2019;4.999.369
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2018;5.480
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2017;3.510.667
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2016;14.589
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2015;685.139
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2014;794.739
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2013;124.935
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2012;206.857
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2011;271.610
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2010;448.876
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2009;231.861
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;D. Suministro de energía eléctrica gas vapor y aire acondicionado;2008;1.595.901
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2021;2.240.876
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2020;3.621.093
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2019;8.874.825
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2018;4.778.039
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2017;5.700.560
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2016;2.858.724
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2015;2.443.969
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2014;1.526.763
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2013;2.246.803
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2012;3.497.689
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2011;3.364.409
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2010;3.617.147
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2009;3.940.959
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Reducción del ruido y las vibraciones;Total actividades;2008;15.269.997
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2021;62.297
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2020;1.994.250
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2019;2.055.046
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2018;5.313.752
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2017;2.963.879
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2016;1.754.562
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2015;6.190.890
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2014;6.332.693
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2013;5.922.905
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2012;11.344.982
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2011;6.888.021
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2010;16.510.041
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2009;20.539.774
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;B. Industrias extractivas;2008;34.998.188
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2021;1.484.199
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2020;1.818.832
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2019;720.690
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2018;1.081.818
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2017;2.155.654
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2016;2.342.034
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2015;730.922
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2014;928.082
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2013;1.285.373
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2012;908.392
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2011;1.937.990
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2010;4.345.896
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2009;5.153.725
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C. Industria manufacturera;2008;7.381.042
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2021;189.608
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2020;114.625
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2019;15.965
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2018;61.074
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2017;1.271.601
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2016;232.021
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2015;65.818
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2014;99.899
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2013;44.096
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2012;143.370
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2011;346.362
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2010;434.605
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2009;160.560
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2008;582.375
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2021;65.968
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2020;11.333
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2019;13.714
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2018;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2017;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2016;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2015;77.545
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2014;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2013;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2012;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2011;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2010;29.800
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2009;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C13-14-15. Industria textil de la confección del cuero y del calzado;2008;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2021;19.860
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2020;27.778
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2019;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2018;6.475
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2017;5.417
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2016;6.133
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2015;8.517
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2014;306.726
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2013;356.312
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2012;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2011;554
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2010;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2009;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C16. Industria de la madera y del corcho;2008;652.854
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2021;4.821
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2020;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2019;11.549
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2018;13.626
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2017;12.047
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2016;12.912
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2015;7.855
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2014;2.354
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2013;385.024
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2012;57.283
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2011;15.586
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2010;122.186
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2009;34.591
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2008;6.140
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2021;15.116
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2020;6.746
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2019;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2018;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2017;354
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2016;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2015;4.015
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2014;118.280
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2013;122.385
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2012;62.911
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2011;279.876
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2010;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2009;110.000
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C19. Coquerías y refino de petróleo;2008;0
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C20-21. Industria química y farmacéutica;2021;611.650
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C20-21. Industria química y farmacéutica;2020;608.211
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Protección de la biodiversidad y los paisajes;C20-21. Industria química y farmacéutica;2019;297.736
