Total Nacional;Comunidades y Ciudades Autónomas;Clase de residuos;periodo;Total
Total Nacional;01 Andalucía;Total;2020;523,9
Total Nacional;01 Andalucía;Total;2019;510,2
Total Nacional;01 Andalucía;Total;2018;526,6
Total Nacional;01 Andalucía;Total;2017;521,9
Total Nacional;01 Andalucía;Total;2016;523
Total Nacional;01 Andalucía;Total;2015;504,6
Total Nacional;01 Andalucía;Total;2014;497,1
Total Nacional;01 Andalucía;Total;2013;544
Total Nacional;01 Andalucía;Total;2012;573,7
Total Nacional;01 Andalucía;Total;2011;547,4
Total Nacional;01 Andalucía;Total;2010;599,2
Total Nacional;02 Aragón;Residuos mezclados;2021;347,3
Total Nacional;02 Aragón;Residuos mezclados;2020;343,9
Total Nacional;02 Aragón;Residuos mezclados;2019;370,9
Total Nacional;02 Aragón;Residuos mezclados;2018;379,8
Total Nacional;02 Aragón;Residuos mezclados;2017;359,8
Total Nacional;02 Aragón;Residuos mezclados;2016;348,3
Total Nacional;02 Aragón;Residuos mezclados;2015;346,3
Total Nacional;02 Aragón;Residuos mezclados;2014;340,4
Total Nacional;02 Aragón;Residuos mezclados;2013;338,5
Total Nacional;02 Aragón;Residuos mezclados;2012;346,2
Total Nacional;02 Aragón;Residuos mezclados;2011;366,1
Total Nacional;02 Aragón;Residuos mezclados;2010;367,2
Total Nacional;02 Aragón;Residuos de papel y cartón;2021;22
Total Nacional;02 Aragón;Residuos de papel y cartón;2020;36,3
Total Nacional;02 Aragón;Residuos de papel y cartón;2019;21,5
Total Nacional;02 Aragón;Residuos de papel y cartón;2018;22
Total Nacional;02 Aragón;Residuos de papel y cartón;2017;20,3
Total Nacional;02 Aragón;Residuos de papel y cartón;2016;19
Total Nacional;02 Aragón;Residuos de papel y cartón;2015;17
Total Nacional;02 Aragón;Residuos de papel y cartón;2014;16,9
Total Nacional;02 Aragón;Residuos de papel y cartón;2013;44
Total Nacional;02 Aragón;Residuos de papel y cartón;2012;19
Total Nacional;02 Aragón;Residuos de papel y cartón;2011;23,8
Total Nacional;02 Aragón;Residuos de papel y cartón;2010;23,8
Total Nacional;02 Aragón;Residuos de vidrio;2021;15,4
Total Nacional;02 Aragón;Residuos de vidrio;2020;15,6
Total Nacional;02 Aragón;Residuos de vidrio;2019;15,5
Total Nacional;02 Aragón;Residuos de vidrio;2018;14,4
Total Nacional;02 Aragón;Residuos de vidrio;2017;13,8
Total Nacional;02 Aragón;Residuos de vidrio;2016;13,5
Total Nacional;02 Aragón;Residuos de vidrio;2015;13,4
Total Nacional;02 Aragón;Residuos de vidrio;2014;12,5
Total Nacional;02 Aragón;Residuos de vidrio;2013;14,6
Total Nacional;02 Aragón;Residuos de vidrio;2012;17,8
Total Nacional;02 Aragón;Residuos de vidrio;2011;17,3
Total Nacional;02 Aragón;Residuos de vidrio;2010;17,3
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2021;18,1
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2020;16
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2019;16,5
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2018;14,5
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2017;12,3
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2016;12
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2015;12,4
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2014;11
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2013;10,3
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2012;10,5
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2011;10,3
Total Nacional;02 Aragón;Envases mixtos y embalajes mezclados;2010;9,2
Total Nacional;02 Aragón;Total;2021;450,8
Total Nacional;02 Aragón;Total;2020;450,4
Total Nacional;02 Aragón;Total;2019;491,9
Total Nacional;02 Aragón;Total;2018;494,4
Total Nacional;02 Aragón;Total;2017;440,6
Total Nacional;02 Aragón;Total;2016;401,8
Total Nacional;02 Aragón;Total;2015;427,9
Total Nacional;02 Aragón;Total;2014;410,4
Total Nacional;02 Aragón;Total;2013;410,9
Total Nacional;02 Aragón;Total;2012;430,9
Total Nacional;02 Aragón;Total;2011;453,2
Total Nacional;02 Aragón;Total;2010;448,1
Total Nacional;03 Asturias Principado de;Residuos mezclados;2021;384,2
Total Nacional;03 Asturias Principado de;Residuos mezclados;2020;355,3
Total Nacional;03 Asturias Principado de;Residuos mezclados;2019;379,1
Total Nacional;03 Asturias Principado de;Residuos mezclados;2018;394,4
Total Nacional;03 Asturias Principado de;Residuos mezclados;2017;381,4
Total Nacional;03 Asturias Principado de;Residuos mezclados;2016;383,7
Total Nacional;03 Asturias Principado de;Residuos mezclados;2015;387,1
Total Nacional;03 Asturias Principado de;Residuos mezclados;2014;374,1
Total Nacional;03 Asturias Principado de;Residuos mezclados;2013;366,5
Total Nacional;03 Asturias Principado de;Residuos mezclados;2012;376,8
Total Nacional;03 Asturias Principado de;Residuos mezclados;2011;404,4
Total Nacional;03 Asturias Principado de;Residuos mezclados;2010;418,9
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2021;43,6
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2020;39,9
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2019;41,6
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2018;40,8
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2017;52,4
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2016;60,1
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2015;53,9
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2014;47,2
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2013;55,2
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2012;52
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2011;62,6
Total Nacional;03 Asturias Principado de;Residuos de papel y cartón;2010;86,6
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2021;17,6
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2020;17
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2019;17,1
