Total Nacional;Comunidades y Ciudades Autónomas;Clase de residuos;periodo;Total
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2012;19,5
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2011;21,9
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2010;22,3
Total Nacional;07 Castilla y León;Residuos de vidrio;2021;20,9
Total Nacional;07 Castilla y León;Residuos de vidrio;2020;19,6
Total Nacional;07 Castilla y León;Residuos de vidrio;2019;21,2
Total Nacional;07 Castilla y León;Residuos de vidrio;2018;20,6
Total Nacional;07 Castilla y León;Residuos de vidrio;2017;20
Total Nacional;07 Castilla y León;Residuos de vidrio;2016;18,1
Total Nacional;07 Castilla y León;Residuos de vidrio;2015;16,6
Total Nacional;07 Castilla y León;Residuos de vidrio;2014;16,4
Total Nacional;07 Castilla y León;Residuos de vidrio;2013;16,1
Total Nacional;07 Castilla y León;Residuos de vidrio;2012;16,1
Total Nacional;07 Castilla y León;Residuos de vidrio;2011;16,4
Total Nacional;07 Castilla y León;Residuos de vidrio;2010;16,8
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2021;13,6
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2020;13,3
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2019;12
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2018;10,9
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2017;9,8
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2016;9,2
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2015;8,5
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2014;8,4
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2013;7,2
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2012;8,3
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2011;8,3
Total Nacional;07 Castilla y León;Envases mixtos y embalajes mezclados;2010;7,8
Total Nacional;07 Castilla y León;Total;2021;454,1
Total Nacional;07 Castilla y León;Total;2020;444
Total Nacional;07 Castilla y León;Total;2019;453
Total Nacional;07 Castilla y León;Total;2018;450,4
Total Nacional;07 Castilla y León;Total;2017;443,8
Total Nacional;07 Castilla y León;Total;2016;435,7
Total Nacional;07 Castilla y León;Total;2015;433,2
Total Nacional;07 Castilla y León;Total;2014;428,7
Total Nacional;07 Castilla y León;Total;2013;406,5
Total Nacional;07 Castilla y León;Total;2012;449,2
Total Nacional;07 Castilla y León;Total;2011;491,4
Total Nacional;07 Castilla y León;Total;2010;464,5
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2021;382,1
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2020;401,1
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2019;404,8
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2018;423,4
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2017;409,5
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2016;431,4
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2015;420,1
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2014;391,5
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2013;387,1
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2012;400,1
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2011;485,9
Total Nacional;08 Castilla - La Mancha;Residuos mezclados;2010;478,4
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2021;14,2
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2020;11,6
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2019;14,8
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2018;13,8
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2017;15,4
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2016;13,1
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2015;11,9
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2014;12,7
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2013;12,6
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2012;13,6
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2011;14,6
Total Nacional;08 Castilla - La Mancha;Residuos de papel y cartón;2010;17,3
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2021;11,3
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2020;7,7
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2019;12,3
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2018;10,5
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2017;10,5
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2016;10,1
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2015;10
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2014;10
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2013;10,1
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2012;10
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2011;10,1
Total Nacional;08 Castilla - La Mancha;Residuos de vidrio;2010;10
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2021;14,1
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2020;14,1
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2019;12,2
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2018;11
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2017;9,7
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2016;9,2
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2015;9
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2014;8,5
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2013;8,5
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2012;8,4
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2011;8,5
Total Nacional;08 Castilla - La Mancha;Envases mixtos y embalajes mezclados;2010;8,3
Total Nacional;08 Castilla - La Mancha;Total;2021;442,2
Total Nacional;08 Castilla - La Mancha;Total;2020;444,4
Total Nacional;08 Castilla - La Mancha;Total;2019;462,1
Total Nacional;08 Castilla - La Mancha;Total;2018;476,4
Total Nacional;08 Castilla - La Mancha;Total;2017;461,4
Total Nacional;08 Castilla - La Mancha;Total;2016;475,2
Total Nacional;08 Castilla - La Mancha;Total;2015;457
Total Nacional;08 Castilla - La Mancha;Total;2014;428,3
Total Nacional;08 Castilla - La Mancha;Total;2013;433,7
Total Nacional;08 Castilla - La Mancha;Total;2012;438,4
Total Nacional;08 Castilla - La Mancha;Total;2011;532
Total Nacional;08 Castilla - La Mancha;Total;2010;540,9
Total Nacional;09 Cataluña;Residuos mezclados;2021;267,6
Total Nacional;09 Cataluña;Residuos mezclados;2020;277,7
Total Nacional;09 Cataluña;Residuos mezclados;2019;307,1
Total Nacional;09 Cataluña;Residuos mezclados;2018;310,5
Total Nacional;09 Cataluña;Residuos mezclados;2017;329,7
Total Nacional;09 Cataluña;Residuos mezclados;2016;329
Total Nacional;09 Cataluña;Residuos mezclados;2015;321,4
Total Nacional;09 Cataluña;Residuos mezclados;2014;338,2
Total Nacional;09 Cataluña;Residuos mezclados;2013;346,9
Total Nacional;09 Cataluña;Residuos mezclados;2012;322,6
Total Nacional;09 Cataluña;Residuos mezclados;2011;350
Total Nacional;09 Cataluña;Residuos mezclados;2010;336,9
Total Nacional;09 Cataluña;Residuos de papel y cartón;2021;53,2
Total Nacional;09 Cataluña;Residuos de papel y cartón;2020;53,7
Total Nacional;09 Cataluña;Residuos de papel y cartón;2019;53,3
Total Nacional;09 Cataluña;Residuos de papel y cartón;2018;29,9
Total Nacional;09 Cataluña;Residuos de papel y cartón;2017;39,7
Total Nacional;09 Cataluña;Residuos de papel y cartón;2016;36,8
Total Nacional;09 Cataluña;Residuos de papel y cartón;2015;40,3
Total Nacional;09 Cataluña;Residuos de papel y cartón;2014;36,7
Total Nacional;09 Cataluña;Residuos de papel y cartón;2013;35,3
Total Nacional;09 Cataluña;Residuos de papel y cartón;2012;42,4
Total Nacional;09 Cataluña;Residuos de papel y cartón;2011;54,4
Total Nacional;09 Cataluña;Residuos de papel y cartón;2010;60,7
Total Nacional;09 Cataluña;Residuos de vidrio;2021;24,5
Total Nacional;09 Cataluña;Residuos de vidrio;2020;23,9
Total Nacional;09 Cataluña;Residuos de vidrio;2019;26,7
Total Nacional;09 Cataluña;Residuos de vidrio;2018;22,4
Total Nacional;09 Cataluña;Residuos de vidrio;2017;24,5
Total Nacional;09 Cataluña;Residuos de vidrio;2016;23
Total Nacional;09 Cataluña;Residuos de vidrio;2015;21,5
Total Nacional;09 Cataluña;Residuos de vidrio;2014;22
Total Nacional;09 Cataluña;Residuos de vidrio;2013;20,8
Total Nacional;09 Cataluña;Residuos de vidrio;2012;22,6
Total Nacional;09 Cataluña;Residuos de vidrio;2011;24,1
Total Nacional;09 Cataluña;Residuos de vidrio;2010;24,9
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2021;24,7
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2020;24,1
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2019;24,3
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2018;21,1
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2017;19
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2016;17,7
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2015;17,5
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2014;16,3
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2013;16,7
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2012;17,3
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2011;17
Total Nacional;09 Cataluña;Envases mixtos y embalajes mezclados;2010;16,6
Total Nacional;09 Cataluña;Total;2021;458,9
Total Nacional;09 Cataluña;Total;2020;467,4
Total Nacional;09 Cataluña;Total;2019;499
Total Nacional;09 Cataluña;Total;2018;463,5
Total Nacional;09 Cataluña;Total;2017;501,9
Total Nacional;09 Cataluña;Total;2016;477,2
Total Nacional;09 Cataluña;Total;2015;480,7
Total Nacional;09 Cataluña;Total;2014;491,9
Total Nacional;09 Cataluña;Total;2013;488,1
Total Nacional;09 Cataluña;Total;2012;484,3
Total Nacional;09 Cataluña;Total;2011;523,3
Total Nacional;09 Cataluña;Total;2010;534,8
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2021;390
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2020;387,7
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2019;421,4
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2018;434,7
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2017;422,9
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2016;393,1
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2015;387,4
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2014;381,6
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2013;368
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2012;371,5
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2011;379,2
Total Nacional;10 Comunitat Valenciana;Residuos mezclados;2010;386,6
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2021;60,7
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2020;15,9
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2019;15,8
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2018;14,2
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2017;12,2
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2016;12,7
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2015;11
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2014;11,7
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2013;10,9
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2012;12,1
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2011;13,3
Total Nacional;10 Comunitat Valenciana;Residuos de papel y cartón;2010;15,1
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2021;16,9
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2020;16,6
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2019;17,9
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2018;17,2
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2017;16,8
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2016;16,7
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2015;16,4
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2014;16
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2013;16,3
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2012;15,9
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2011;14,9
Total Nacional;10 Comunitat Valenciana;Residuos de vidrio;2010;15,5
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2021;14,5
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2020;14
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2019;12,4
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2018;10,7
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2017;9
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2016;8,8
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2015;8,5
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2014;8,2
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2013;8
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2012;8
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2011;8,4
Total Nacional;10 Comunitat Valenciana;Envases mixtos y embalajes mezclados;2010;8,2
Total Nacional;10 Comunitat Valenciana;Total;2021;528,1
Total Nacional;10 Comunitat Valenciana;Total;2020;475,1
Total Nacional;10 Comunitat Valenciana;Total;2019;499,5
Total Nacional;10 Comunitat Valenciana;Total;2018;514,3
Total Nacional;10 Comunitat Valenciana;Total;2017;493,9
Total Nacional;10 Comunitat Valenciana;Total;2016;448,4
Total Nacional;10 Comunitat Valenciana;Total;2015;443,6
Total Nacional;10 Comunitat Valenciana;Total;2014;437,9
Total Nacional;10 Comunitat Valenciana;Total;2013;431,2
Total Nacional;10 Comunitat Valenciana;Total;2012;429,8
Total Nacional;10 Comunitat Valenciana;Total;2011;444,2
Total Nacional;10 Comunitat Valenciana;Total;2010;462
Total Nacional;11 Extremadura;Residuos mezclados;2021;404,1
Total Nacional;11 Extremadura;Residuos mezclados;2020;403,6
Total Nacional;11 Extremadura;Residuos mezclados;2019;405,9
Total Nacional;11 Extremadura;Residuos mezclados;2018;421
Total Nacional;11 Extremadura;Residuos mezclados;2017;408,7
Total Nacional;11 Extremadura;Residuos mezclados;2016;384,9
Total Nacional;11 Extremadura;Residuos mezclados;2015;376,8
Total Nacional;11 Extremadura;Residuos mezclados;2014;373,6
Total Nacional;11 Extremadura;Residuos mezclados;2013;359,9
Total Nacional;11 Extremadura;Residuos mezclados;2012;394
Total Nacional;11 Extremadura;Residuos mezclados;2011;414,4
Total Nacional;11 Extremadura;Residuos mezclados;2010;461,8
Total Nacional;11 Extremadura;Residuos de papel y cartón;2021;22,9
Total Nacional;11 Extremadura;Residuos de papel y cartón;2020;27,5
Total Nacional;11 Extremadura;Residuos de papel y cartón;2019;29,8
Total Nacional;11 Extremadura;Residuos de papel y cartón;2018;34,2
Total Nacional;11 Extremadura;Residuos de papel y cartón;2017;29,4
Total Nacional;11 Extremadura;Residuos de papel y cartón;2016;32
Total Nacional;11 Extremadura;Residuos de papel y cartón;2015;36,9
Total Nacional;11 Extremadura;Residuos de papel y cartón;2014;35,7
Total Nacional;11 Extremadura;Residuos de papel y cartón;2013;31,4
Total Nacional;11 Extremadura;Residuos de papel y cartón;2012;29,6
Total Nacional;11 Extremadura;Residuos de papel y cartón;2011;14,8
Total Nacional;11 Extremadura;Residuos de papel y cartón;2010;29,8
Total Nacional;11 Extremadura;Residuos de vidrio;2021;8,8
Total Nacional;11 Extremadura;Residuos de vidrio;2020;8,7
Total Nacional;11 Extremadura;Residuos de vidrio;2019;8,9
Total Nacional;11 Extremadura;Residuos de vidrio;2018;7,7
Total Nacional;11 Extremadura;Residuos de vidrio;2017;7,4
Total Nacional;11 Extremadura;Residuos de vidrio;2016;8,8
Total Nacional;11 Extremadura;Residuos de vidrio;2015;7,4
Total Nacional;11 Extremadura;Residuos de vidrio;2014;6,5
Total Nacional;11 Extremadura;Residuos de vidrio;2013;7,9
Total Nacional;11 Extremadura;Residuos de vidrio;2012;6,8
Total Nacional;11 Extremadura;Residuos de vidrio;2011;6,8
Total Nacional;11 Extremadura;Residuos de vidrio;2010;7,8
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2021;14,2
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2020;14,5
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2019;13,1
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2018;12,3
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2017;11
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2016;10,5
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2015;9,9
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2014;9,7
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2013;9,5
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2012;9,1
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2011;9,2
Total Nacional;11 Extremadura;Envases mixtos y embalajes mezclados;2010;9,4
Total Nacional;11 Extremadura;Total;2021;451,5
Total Nacional;11 Extremadura;Total;2020;455,4
Total Nacional;11 Extremadura;Total;2019;460,4
Total Nacional;11 Extremadura;Total;2018;476,9
Total Nacional;11 Extremadura;Total;2017;466,4
Total Nacional;11 Extremadura;Total;2016;449,6
Total Nacional;11 Extremadura;Total;2015;457,9
Total Nacional;11 Extremadura;Total;2014;452,6
Total Nacional;11 Extremadura;Total;2013;409,4
Total Nacional;11 Extremadura;Total;2012;442,2
Total Nacional;11 Extremadura;Total;2011;451,3
Total Nacional;11 Extremadura;Total;2010;514,2
Total Nacional;12 Galicia;Residuos mezclados;2021;345,6
Total Nacional;12 Galicia;Residuos mezclados;2020;343,4
Total Nacional;12 Galicia;Residuos mezclados;2019;366,1
Total Nacional;12 Galicia;Residuos mezclados;2018;353,4
Total Nacional;12 Galicia;Residuos mezclados;2017;351,7
Total Nacional;12 Galicia;Residuos mezclados;2016;348,6
Total Nacional;12 Galicia;Residuos mezclados;2015;345,1
Total Nacional;12 Galicia;Residuos mezclados;2014;342,7
Total Nacional;12 Galicia;Residuos mezclados;2013;332,6
Total Nacional;12 Galicia;Residuos mezclados;2012;339,9
Total Nacional;12 Galicia;Residuos mezclados;2011;362,6
Total Nacional;12 Galicia;Residuos mezclados;2010;370
Total Nacional;12 Galicia;Residuos de papel y cartón;2021;14,9
Total Nacional;12 Galicia;Residuos de papel y cartón;2020;15,2
Total Nacional;12 Galicia;Residuos de papel y cartón;2019;15,2
Total Nacional;12 Galicia;Residuos de papel y cartón;2018;13,9
Total Nacional;12 Galicia;Residuos de papel y cartón;2017;12,3
Total Nacional;12 Galicia;Residuos de papel y cartón;2016;12,7
Total Nacional;12 Galicia;Residuos de papel y cartón;2015;12
Total Nacional;12 Galicia;Residuos de papel y cartón;2014;11,6
Total Nacional;12 Galicia;Residuos de papel y cartón;2013;11,5
Total Nacional;12 Galicia;Residuos de papel y cartón;2012;12,5
Total Nacional;12 Galicia;Residuos de papel y cartón;2011;13,8
Total Nacional;12 Galicia;Residuos de papel y cartón;2010;16,8
Total Nacional;12 Galicia;Residuos de vidrio;2021;17,9
Total Nacional;12 Galicia;Residuos de vidrio;2020;17,3
Total Nacional;12 Galicia;Residuos de vidrio;2019;17,9
Total Nacional;12 Galicia;Residuos de vidrio;2018;17
Total Nacional;12 Galicia;Residuos de vidrio;2017;16
Total Nacional;12 Galicia;Residuos de vidrio;2016;15,2
Total Nacional;12 Galicia;Residuos de vidrio;2015;14,6
Total Nacional;12 Galicia;Residuos de vidrio;2014;14,3
Total Nacional;12 Galicia;Residuos de vidrio;2013;13,8
Total Nacional;12 Galicia;Residuos de vidrio;2012;13,2
Total Nacional;12 Galicia;Residuos de vidrio;2011;13,1
Total Nacional;12 Galicia;Residuos de vidrio;2010;14,1
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2021;12,2
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2020;12
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2019;10,6
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2018;9,6
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2017;0
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2016;8,4
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2015;8,1
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2014;8,1
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2013;7,9
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2012;7,8
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2011;8
Total Nacional;12 Galicia;Envases mixtos y embalajes mezclados;2010;8
Total Nacional;12 Galicia;Total;2021;419,6
Total Nacional;12 Galicia;Total;2020;410,4
Total Nacional;12 Galicia;Total;2019;435,5
Total Nacional;12 Galicia;Total;2018;421,7
Total Nacional;12 Galicia;Total;2017;413,9
Total Nacional;12 Galicia;Total;2016;409,4
Total Nacional;12 Galicia;Total;2015;419,4
Total Nacional;12 Galicia;Total;2014;415,9
Total Nacional;12 Galicia;Total;2013;393,3
Total Nacional;12 Galicia;Total;2012;400,5
Total Nacional;12 Galicia;Total;2011;425,2
Total Nacional;12 Galicia;Total;2010;439,4
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2021;266,8
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2020;267,6
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2019;292,2
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2018;307,3
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2017;338,8
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2016;322,3
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2015;309,2
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2014;318,3
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2013;304,8
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2012;311,2
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2011;326,6
Total Nacional;13 Madrid Comunidad de;Residuos mezclados;2010;340,8
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2021;21,6
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2020;21,3
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2019;20,9
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2018;18,4
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2017;15,3
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2016;13,7
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2015;13,5
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2014;14
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2013;14,8
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2012;17,8
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2011;21,3
Total Nacional;13 Madrid Comunidad de;Residuos de papel y cartón;2010;25,1
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2021;18,2
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2020;17,1
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2019;17,1
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2018;15,9
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2017;13,7
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2016;12,7
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2015;12,3
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2014;12,2
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2013;12,3
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2012;12,5
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2011;12,9
Total Nacional;13 Madrid Comunidad de;Residuos de vidrio;2010;12,9
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2021;27,5
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2020;27,8
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2019;26
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2018;24,3
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2017;21,6
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2016;19,9
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2015;19,3
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2014;19,2
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2013;19
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2012;20,4
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2011;21,5
Total Nacional;13 Madrid Comunidad de;Envases mixtos y embalajes mezclados;2010;22,1
Total Nacional;13 Madrid Comunidad de;Total;2021;393,5
Total Nacional;13 Madrid Comunidad de;Total;2020;378,4
Total Nacional;13 Madrid Comunidad de;Total;2019;398,4
Total Nacional;13 Madrid Comunidad de;Total;2018;386,1
Total Nacional;13 Madrid Comunidad de;Total;2017;403,3
Total Nacional;13 Madrid Comunidad de;Total;2016;383,5
Total Nacional;13 Madrid Comunidad de;Total;2015;363,8
Total Nacional;13 Madrid Comunidad de;Total;2014;377,1
Total Nacional;13 Madrid Comunidad de;Total;2013;365,9
Total Nacional;13 Madrid Comunidad de;Total;2012;376
Total Nacional;13 Madrid Comunidad de;Total;2011;401,4
Total Nacional;13 Madrid Comunidad de;Total;2010;423,7
Total Nacional;14 Murcia Región de;Residuos mezclados;2021;482,9
Total Nacional;14 Murcia Región de;Residuos mezclados;2020;453,2
Total Nacional;14 Murcia Región de;Residuos mezclados;2019;449,4
Total Nacional;14 Murcia Región de;Residuos mezclados;2018;437,8
Total Nacional;14 Murcia Región de;Residuos mezclados;2017;443,8
Total Nacional;14 Murcia Región de;Residuos mezclados;2016;425
Total Nacional;14 Murcia Región de;Residuos mezclados;2015;410,3
Total Nacional;14 Murcia Región de;Residuos mezclados;2014;415,4
Total Nacional;14 Murcia Región de;Residuos mezclados;2013;417,6
